HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,,,Input.imgurl0,Input.imgurl1,Input.imgurl2,Input.imgurl3,Input.imgurl4,Input.theme0,Input.theme1,Input.theme2,Input.theme3,Input.theme4,Input.word0,Input.word1,Input.word2,Input.word3,Input.word4,Answer.comments,Answer.ques0,Answer.ques1,Answer.ques2,Answer.ques3,Answer.ques4
302U8RURJZ13NPC5ES46XUQHBE1VN7,3VUPA8U9XY03TDD2ACSRXQ7J959XFU,Identify the word in the doodle,Identify the word in the doodle (a sequence of icons which resemble the letters of the word),"doodle, letters, cliparts, words, icons",$0.25,Thu Feb 14 21:48:35 PST 2019,4,BatchId:3533157,OriginalHitTemplateId:928390876,,3600,259200,Sun Feb 24 21:48:35 PST 2019,,,32Q90QCQ1SLO0S3ACSSITIHGPG8KEE,AOOUX0906K0HG,Submitted,Thu Feb 14 21:50:08 PST 2019,Thu Feb 14 21:50:29 PST 2019,Sun Feb 17 21:50:29 PST 2019,,,,21,100% (1/1),0% (0/0),0% (0/0),https://purvaten.github.io/crowd-results/crowd-results-original-education6/olympics/olympics.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/donald%20trump_fake%20news/politics.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/vehicle_driving_passenger/car.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/sports/ball.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/cold_white_winter/snow.png,olympics,donald trump-fake news,vehicle-driving-passenger,sports,cold-white-winter,olympics,politics,car,ball,snow,Let us know your thoughts..,exercise,trump,car,ball,snow
302U8RURJZ13NPC5ES46XUQHBE1VN7,3VUPA8U9XY03TDD2ACSRXQ7J959XFU,Identify the word in the doodle,Identify the word in the doodle (a sequence of icons which resemble the letters of the word),"doodle, letters, cliparts, words, icons",$0.25,Thu Feb 14 21:48:35 PST 2019,4,BatchId:3533157,OriginalHitTemplateId:928390876,,3600,259200,Sun Feb 24 21:48:35 PST 2019,,,3A4TN5196KII14IOAGJQQ21LCNUHCH,AGA1PIIWM8I8D,Submitted,Thu Feb 14 23:35:47 PST 2019,Thu Feb 14 23:59:17 PST 2019,Sun Feb 17 23:59:17 PST 2019,,,,1410,100% (520/520),100% (3/3),0% (0/0),https://purvaten.github.io/crowd-results/crowd-results-original-education6/olympics/olympics.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/donald%20trump_fake%20news/politics.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/vehicle_driving_passenger/car.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/sports/ball.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/cold_white_winter/snow.png,olympics,donald trump-fake news,vehicle-driving-passenger,sports,cold-white-winter,olympics,politics,car,ball,snow,Let us know your thoughts..,olympics,politics,cab,ball,snow
302U8RURJZ13NPC5ES46XUQHBE1VN7,3VUPA8U9XY03TDD2ACSRXQ7J959XFU,Identify the word in the doodle,Identify the word in the doodle (a sequence of icons which resemble the letters of the word),"doodle, letters, cliparts, words, icons",$0.25,Thu Feb 14 21:48:35 PST 2019,4,BatchId:3533157,OriginalHitTemplateId:928390876,,3600,259200,Sun Feb 24 21:48:35 PST 2019,,,3F6KKYWMNB1KGSADDA9EFSGZJZCNDT,A22DDO8NILSX6O,Submitted,Thu Feb 14 21:49:43 PST 2019,Thu Feb 14 22:06:11 PST 2019,Sun Feb 17 22:06:11 PST 2019,,,,988,100% (111/111),100% (4/4),100% (1/1),https://purvaten.github.io/crowd-results/crowd-results-original-education6/olympics/olympics.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/donald%20trump_fake%20news/politics.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/vehicle_driving_passenger/car.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/sports/ball.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/cold_white_winter/snow.png,olympics,donald trump-fake news,vehicle-driving-passenger,sports,cold-white-winter,olympics,politics,car,ball,snow,Let us know your thoughts..,Olympics,politics,car,ball,snow
302U8RURJZ13NPC5ES46XUQHBE1VN7,3VUPA8U9XY03TDD2ACSRXQ7J959XFU,Identify the word in the doodle,Identify the word in the doodle (a sequence of icons which resemble the letters of the word),"doodle, letters, cliparts, words, icons",$0.25,Thu Feb 14 21:48:35 PST 2019,4,BatchId:3533157,OriginalHitTemplateId:928390876,,3600,259200,Sun Feb 24 21:48:35 PST 2019,,,3Z4XG4ZF48RDBRSQY8L7R2TWAMPX8H,A2DWSKGD9RNKMJ,Submitted,Thu Feb 14 21:51:44 PST 2019,Thu Feb 14 22:06:02 PST 2019,Sun Feb 17 22:06:02 PST 2019,,,,858,100% (96/96),0% (0/0),0% (0/0),https://purvaten.github.io/crowd-results/crowd-results-original-education6/olympics/olympics.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/donald%20trump_fake%20news/politics.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/vehicle_driving_passenger/car.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/sports/ball.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/cold_white_winter/snow.png,olympics,donald trump-fake news,vehicle-driving-passenger,sports,cold-white-winter,olympics,politics,car,ball,snow,Let us know your thoughts..,olympics,politics,cap,bail,snow
3J9L0X0VDFMVDC8G3SQX1VEBDYLW9I,3VUPA8U9XY03TDD2ACSRXQ7J959XFU,Identify the word in the doodle,Identify the word in the doodle (a sequence of icons which resemble the letters of the word),"doodle, letters, cliparts, words, icons",$0.25,Thu Feb 14 16:56:04 PST 2019,1,BatchId:3532956,OriginalHitTemplateId:928390876,,3600,259200,Sun Feb 24 16:56:04 PST 2019,,,3RGU30DZTA8R1WP5B5GP5BMCJTIMJP,A3C0NQ2IP5FTZQ,Submitted,Thu Feb 14 16:56:11 PST 2019,Thu Feb 14 17:01:40 PST 2019,Sun Feb 17 17:01:40 PST 2019,,,,329,100% (5/5),0% (0/0),0% (0/0),https://purvaten.github.io/crowd-results/crowd-results-original-education6/olympics/olympics.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/donald%20trump_fake%20news/politics.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/vehicle_driving_passenger/car.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/sports/ball.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/cold_white_winter/snow.png,olympics,donald trump-fake news,vehicle-driving-passenger,sports,cold-white-winter,olympics,politics,car,ball,snow,Why thank you very much.,olympics,politics,cat,bail,snow
3L2OEKSTW9AZOCK6D127MW4G404Y8V,3VUPA8U9XY03TDD2ACSRXQ7J959XFU,Identify the word in the doodle,Identify the word in the doodle (a sequence of icons which resemble the letters of the word),"doodle, letters, cliparts, words, icons",$0.25,Thu Feb 14 21:48:35 PST 2019,4,BatchId:3533157,OriginalHitTemplateId:928390876,,3600,259200,Sun Feb 24 21:48:35 PST 2019,,,3EKVH9QMEY4OR6LKRRBUN4D184M2DI,A2DWSKGD9RNKMJ,Submitted,Thu Feb 14 21:50:49 PST 2019,Thu Feb 14 21:52:34 PST 2019,Sun Feb 17 21:52:34 PST 2019,,,,105,100% (96/96),0% (0/0),0% (0/0),https://purvaten.github.io/crowd-results/crowd-results-original-final/cartoon_toy_polar/bear.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/automobile/truck.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/priest_nun_bishop/church.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/books_academics_scholastics/study.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/watersports/canoe.png,cartoon-toy-polar,automobile,priest-nun-bishop,books-academics-scholastics,watersports,bear,truck,church,study,canoe,Let us know your thoughts..,boar,truck,church,study,canoe
3L2OEKSTW9AZOCK6D127MW4G404Y8V,3VUPA8U9XY03TDD2ACSRXQ7J959XFU,Identify the word in the doodle,Identify the word in the doodle (a sequence of icons which resemble the letters of the word),"doodle, letters, cliparts, words, icons",$0.25,Thu Feb 14 21:48:35 PST 2019,4,BatchId:3533157,OriginalHitTemplateId:928390876,,3600,259200,Sun Feb 24 21:48:35 PST 2019,,,3I02618YA0660FXCFKCVTHPI5E8UP6,A1ODGBU73JE8S,Submitted,Thu Feb 14 21:51:11 PST 2019,Thu Feb 14 21:52:02 PST 2019,Sun Feb 17 21:52:02 PST 2019,,,,51,100% (15/15),0% (0/0),0% (0/0),https://purvaten.github.io/crowd-results/crowd-results-original-final/cartoon_toy_polar/bear.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/automobile/truck.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/priest_nun_bishop/church.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/books_academics_scholastics/study.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/watersports/canoe.png,cartoon-toy-polar,automobile,priest-nun-bishop,books-academics-scholastics,watersports,bear,truck,church,study,canoe,Let us know your thoughts..,boat,trust,church,study,canoe
3L2OEKSTW9AZOCK6D127MW4G404Y8V,3VUPA8U9XY03TDD2ACSRXQ7J959XFU,Identify the word in the doodle,Identify the word in the doodle (a sequence of icons which resemble the letters of the word),"doodle, letters, cliparts, words, icons",$0.25,Thu Feb 14 21:48:35 PST 2019,4,BatchId:3533157,OriginalHitTemplateId:928390876,,3600,259200,Sun Feb 24 21:48:35 PST 2019,,,3LOZAJ85YDD2PCQ1IRC6HBGTOMY2XK,ABXFBTOL7FR1R,Submitted,Thu Feb 14 21:56:11 PST 2019,Thu Feb 14 21:56:41 PST 2019,Sun Feb 17 21:56:41 PST 2019,,,,30,0% (0/0),0% (0/0),0% (0/0),https://purvaten.github.io/crowd-results/crowd-results-original-final/cartoon_toy_polar/bear.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/automobile/truck.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/priest_nun_bishop/church.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/books_academics_scholastics/study.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/watersports/canoe.png,cartoon-toy-polar,automobile,priest-nun-bishop,books-academics-scholastics,watersports,bear,truck,church,study,canoe,Let us know your thoughts..,bear,truck,church,study,canoe
3L2OEKSTW9AZOCK6D127MW4G404Y8V,3VUPA8U9XY03TDD2ACSRXQ7J959XFU,Identify the word in the doodle,Identify the word in the doodle (a sequence of icons which resemble the letters of the word),"doodle, letters, cliparts, words, icons",$0.25,Thu Feb 14 21:48:35 PST 2019,4,BatchId:3533157,OriginalHitTemplateId:928390876,,3600,259200,Sun Feb 24 21:48:35 PST 2019,,,3X87C8JFV6BBLE6NQSWKELX4PD9SQF,A22DDO8NILSX6O,Submitted,Thu Feb 14 21:51:56 PST 2019,Thu Feb 14 22:13:01 PST 2019,Sun Feb 17 22:13:01 PST 2019,,,,1265,100% (111/111),100% (4/4),100% (1/1),https://purvaten.github.io/crowd-results/crowd-results-original-final/cartoon_toy_polar/bear.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/automobile/truck.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/priest_nun_bishop/church.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/books_academics_scholastics/study.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/watersports/canoe.png,cartoon-toy-polar,automobile,priest-nun-bishop,books-academics-scholastics,watersports,bear,truck,church,study,canoe,Let us know your thoughts..,boar,truck,church,study,canoe
31SIZS5W59FWXF8GL0RD0RWJVJARQW,3VUPA8U9XY03TDD2ACSRXQ7J959XFU,Identify the word in the doodle,Identify the word in the doodle (a sequence of icons which resemble the letters of the word),"doodle, letters, cliparts, words, icons",$0.25,Thu Feb 14 16:56:04 PST 2019,1,BatchId:3532956,OriginalHitTemplateId:928390876,,3600,259200,Sun Feb 24 16:56:04 PST 2019,,,3G5W44VEU7IMK6Z1INI6TL2S2W6KGE,A3H6KECCE83132,Submitted,Thu Feb 14 16:59:21 PST 2019,Thu Feb 14 17:03:37 PST 2019,Sun Feb 17 17:03:37 PST 2019,,,,256,100% (18/18),0% (0/0),0% (0/0),https://purvaten.github.io/crowd-results/crowd-results-original-final/cartoon_toy_polar/bear.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/automobile/truck.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/priest_nun_bishop/church.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/books_academics_scholastics/study.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/watersports/canoe.png,cartoon-toy-polar,automobile,priest-nun-bishop,books-academics-scholastics,watersports,bear,truck,church,study,canoe,Let us know your thoughts.. this was fun,boar,truck,church,study,canoe
